date,open,close,high,low,volumeP
1090102,91,90.8,91.5,90.3,1886677519
1090103,91.4,91.6,92.2,90.8,3471335594
1090106,91.1,90.5,91.1,90.1,2388785688
1090107,90.5,89.1,91,88.3,3935667984
1090108,87.9,86.5,88.1,86.5,4891344755
1090109,87.3,87.1,87.7,87,2491571248
1090110,88,89,89,87.5,2852056044
1090113,89.7,89.6,89.7,88.6,2084580613
1090114,90,90,90.1,89.6,1758920258
1090115,90,89.9,90.3,89.5,2141165898
1090116,89.8,90,90.2,89.4,1734134777
1090117,91,92.3,92.4,91,7195625358
1090120,92.7,92.3,93.4,92.1,3266663404
1090130,85.5,83.1,86.2,83.1,12913538375
1090131,83,83.2,84.9,82.6,5823335061
1090203,79.5,82.2,82.3,77.3,5331667770
1090204,82.8,82.2,83.9,81.5,4125328043
1090205,82.2,82.2,82.7,81.6,4053426295
1090206,82.5,83.6,83.6,82.3,3674127347
1090207,83.6,82.9,83.6,82.7,2198259716
1090210,79,82,82.7,78.9,3452575714
1090211,82.6,82.9,83.4,82.1,2343130610
1090212,83,85.5,85.6,83,4848610083
1090213,85.8,84.7,86.3,84.7,3092757614
1090214,84.7,84.9,85.3,84.3,1806237388
1090217,84.2,83.9,84.2,83.8,1408020326
1090218,84,83.4,84.3,83,1887907282
1090219,83,83.8,84.6,82.5,2132686918
1090220,84,82.8,84.1,82.5,2991260607
1090221,82.1,81.7,82.2,81.6,2438828133
1090224,80.6,80.7,81.4,80.2,2650828496
1090225,80.2,82.3,82.7,79.9,3849837516
1090226,81.2,81.1,82.2,80.7,3504698711
1090227,80.8,80.3,81.5,80,4297286977
1090302,78.2,79.2,80.3,78.1,4355555537
1090303,81.1,81,82,80.6,2828098980
1090304,81.5,81.7,81.9,81.1,2438150154
1090305,83.3,82.7,83.6,82.6,3067987721
1090306,81.6,80.8,81.7,80.7,3137596043
1090309,79.2,79.1,80.1,79.1,3574569517
1090310,78.5,79.4,79.8,78.5,3099346390
1090311,79.3,78.6,80.1,78.6,2418343099
1090312,77.4,74.7,77.5,74.5,6495111843
1090313,70,74.6,75,69.9,7771885443
1090316,73.9,71.1,74.3,71.1,4720458460
1090317,70.1,70.6,72.8,70,5158152404
1090318,70.7,70,71.3,70,5378721353
1090319,68.7,66.3,69.3,65.7,7251995017
1090320,68,70.8,71.4,68,7291745045
1090323,67.5,67.5,68.4,67,4526103196
1090324,70.6,69.4,70.7,69.1,2912829700
1090325,71.2,71.4,72.6,71.1,3851366575
1090326,71.5,71,71.7,70.5,2744977279
1090327,71.4,70.1,72.2,70,4243023340
1090330,69.5,70,70.3,69,2344257604
1090331,70.1,69.9,70.5,69.9,2683048464
