date,open,close,high,low,volumeP,pos,neg,pos,neg
1090102,91,90.8,91.5,90.3,1886677519,0.615384615,0.384615385,0.337200594,0.662799406
1090103,91.4,91.6,92.2,90.8,3471335594,0.72,0.28,0.5,0.5
1090106,91.1,90.5,91.1,90.1,2388785688,0.416666667,0.583333333,0.5,0.5
1090107,90.5,89.1,91,88.3,3935667984,0.453333333,0.546666667,0.300077219,0.699922781
1090108,87.9,86.5,88.1,86.5,4891344755,0.375,0.625,0.333274442,0.666725558
1090109,87.3,87.1,87.7,87,2491571248,0.481481481,0.518518519,0.5,0.5
1090110,88,89,89,87.5,2852056044,0.625,0.375,0.5,0.5
1090113,89.7,89.6,89.7,88.6,2084580613,0.486486486,0.513513514,0.5,0.5
1090114,90,90,90.1,89.6,1758920258,0.727272727,0.272727273,0.5,0.5
1090115,90,89.9,90.3,89.5,2141165898,0.333333333,0.666666667,0.25039981,0.74960019
1090116,89.8,90,90.2,89.4,1734134777,0.666666667,0.333333333,0.356062641,0.643937359
1090117,91,92.3,92.4,91,7195625358,0.75,0.25,0.5,0.5
1090120,92.7,92.3,93.4,92.1,3266663404,0.742857143,0.257142857,0.5,0.5
1090130,85.5,83.1,86.2,83.1,12913538375,0.287878788,0.712121212,0.5,0.5
1090131,83,83.2,84.9,82.6,5823335061,0.269230769,0.730769231,0.5,0.5
1090203,79.5,82.2,82.3,77.3,5331667770,0.375,0.625,0.5,0.5
1090204,82.8,82.2,83.9,81.5,4125328043,0.452830189,0.547169811,0.5,0.5
1090205,82.2,82.2,82.7,81.6,4053426295,0.366666667,0.633333333,0.5,0.5
1090206,82.5,83.6,83.6,82.3,3674127347,0.625,0.375,0.387381619,0.612618381
1090207,83.6,82.9,83.6,82.7,2198259716,0.565217391,0.434782609,0.5,0.5
1090210,79,82,82.7,78.9,3452575714,0.494623656,0.505376344,0.27038292,0.72961708
1090211,82.6,82.9,83.4,82.1,2343130610,0.603773585,0.396226415,0.5,0.5
1090212,83,85.5,85.6,83,4848610083,0.5,0.5,0.3777326,0.6222674
1090213,85.8,84.7,86.3,84.7,3092757614,0.428571429,0.571428571,0.5,0.5
1090214,84.7,84.9,85.3,84.3,1806237388,0.555555556,0.444444444,0.5,0.5
1090217,84.2,83.9,84.2,83.8,1408020326,0.452830189,0.547169811,0.341536602,0.658463398
1090218,84,83.4,84.3,83,1887907282,0.454545455,0.545454545,0.323208771,0.676791229
1090219,83,83.8,84.6,82.5,2132686918,0.509803922,0.490196078,0.284544536,0.715455464
1090220,84,82.8,84.1,82.5,2991260607,0.481481481,0.518518519,0.5,0.5
1090221,82.1,81.7,82.2,81.6,2438828133,0.470588235,0.529411765,0.5,0.5
1090224,80.6,80.7,81.4,80.2,2650828496,0.448275862,0.551724138,0.5,0.5
1090225,80.2,82.3,82.7,79.9,3849837516,0.612244898,0.387755102,0.32098993,0.671136054
1090226,81.2,81.1,82.2,80.7,3504698711,0.46,0.54,0.5,0.5
1090227,80.8,80.3,81.5,80,4297286977,0.3125,0.6875,0.5,0.5
1090302,78.2,79.2,80.3,78.1,4355555537,0.384615385,0.615384615,0.5,0.5
1090303,81.1,81,82,80.6,2828098980,0.597014925,0.402985075,0.31927089,0.68072911
1090304,81.5,81.7,81.9,81.1,2438150154,0.527272727,0.472727273,0.330971619,0.669028381
1090305,83.3,82.7,83.6,82.6,3067987721,0.684210526,0.315789474,0.290196167,0.709803833
1090306,81.6,80.8,81.7,80.7,3137596043,0.470588235,0.529411765,0.28258351,0.698897971
1090309,79.2,79.1,80.1,79.1,3574569517,0.363636364,0.636363636,0.5,0.5
1090310,78.5,79.4,79.8,78.5,3099346390,0.419354839,0.580645161,0.5,0.5
1090311,79.3,78.6,80.1,78.6,2418343099,0.45,0.55,0.5,0.5
1090312,77.4,74.7,77.5,74.5,6495111843,0.276595745,0.723404255,0.5,0.5
1090313,70,74.6,75,69.9,7771885443,0.315789474,0.684210526,0.384007659,0.615992341
1090316,73.9,71.1,74.3,71.1,4720458460,0.333333333,0.666666667,0.283807471,0.716192529
1090317,70.1,70.6,72.8,70,5158152404,0.416666667,0.583333333,0.191573458,0.808426542
1090318,70.7,70,71.3,70,5378721353,0.567567568,0.432432432,0.5,0.5
1090319,68.7,66.3,69.3,65.7,7251995017,0.282608696,0.717391304,0.222386001,0.777613999
1090320,68,70.8,71.4,68,7291745045,0.5,0.5,0.267824756,0.709953021
1090323,67.5,67.5,68.4,67,4526103196,0.307692308,0.692307692,0.339079905,0.660920095
1090324,70.6,69.4,70.7,69.1,2912829700,0.5,0.5,0.207553909,0.792446091
1090325,71.2,71.4,72.6,71.1,3851366575,0.447368421,0.552631579,0.5,0.5
1090326,71.5,71,71.7,70.5,2744977279,0.558823529,0.441176471,0.5,0.5
1090327,71.4,70.1,72.2,70,4243023340,0.342857143,0.657142857,0.5,0.5
1090330,69.5,70,70.3,69,2344257604,0.475,0.525,0.28699367,0.71300633
1090331,70.1,69.9,70.5,69.9,2683048464,0.588235294,0.411764706,0.5,0.5
